,project_id,pool_id,title,description,pool_startedAt,hasInstructions,mayContainAdultContent,requesterID,requesterTrusted,lang,grade,averageAcceptanceTimeSec,moneyAvgHourly,moneyMed,moneyTop10,moneyMax3,reward
0,0,0,title,,2022-09-16T22:16:48.000Z,0,1,requesterID,1,EN,4.3,,0.54,,,,0.0
1,2338,36616149,Ekran görüntüsünde yetişkin içerik var mı?,"Bu, ""Ekran görüntüsünde yetişkin içerik var mı?"" projesinin sınavıdır.
Ana projeye erişim yetkisi almak için bu sınavdan geçmeniz gerekmektedir.
(Dikkat! Görevde yetişkin içerik bulunabilir)",2022-11-29T12:19:54.000Z,1,1,fa517ea3113e489138d249ff9844f572,1,,4.52,,0.0,0.0,0.09,1.19,0.0
2,2338,36760808,Ekran görüntüsünde yetişkin içerik var mı?,Değerlendirilen görsele en uygun kategoriyi seçerek yetişkin içeriğe sahip materyalleri içeren dosyaları işaretleyin. (Dikkat! Bu görev yetişkin içerik barındırabilir),2022-12-08T22:27:28.000Z,1,1,fa517ea3113e489138d249ff9844f572,1,,4.54,,0.0,0.0,0.29,1.69,0.0
3,2338,36774752,Ekran görüntüsünde yetişkin içerik var mı?,Değerlendirilen görsele en uygun kategoriyi seçerek yetişkin içeriğe sahip materyalleri içeren dosyaları işaretleyin. (Dikkat! Bu görev yetişkin içerik barındırabilir),2022-12-09T21:50:47.000Z,1,1,fa517ea3113e489138d249ff9844f572,1,,4.51,,0.0,0.0,0.09,1.19,0.0
4,6795,21626385,Тональность сообщений из социальных сетей ,Разметка сообщений по эмоциональной окраске. ,2022-10-23T22:24:44.000Z,1,1,81029b6e4b04badacad20d15ff3998e0,1,,4.89,,2.4,0.04,0.14,,0.0
5,7053,32956274,Яндекс Маркет. Редиректы. Категория. Точность,"Вам предлагается оценить, идеально ли предложенная Вам товарная категория соответствует заданному запросу.",2022-04-15T05:59:48.000Z,1,1,7d935a4f05dc1f1f5ec7452feba85b5c,1,,4.92,,0.75,0.04,0.04,1.74,0.0
6,7738,36742711,Eğitim: Yetişkin içeriğe sahip dosyaların ekran görüntülerinin belirlenmesi,"Bu, ""Yetişkin içeriğe sahip dosyaların ekran görüntülerinin belirlenmesi"" projesinin eğitim görevidir.
Ana projeye erişim yetkisi almak için bu görevi tamamlamanız gerekmektedir.
Bu görevi ikinci kez yapmanıza gerek yoktur; bilgilerinizi tazelemek için buraya başvurabilirsiniz.
(Dikkat! Görevde yetişkin içerik bulunabilir)",2022-12-07T18:01:44.000Z,1,1,fa517ea3113e489138d249ff9844f572,1,,4.41,,0.0,,,,0.0
7,7738,36772424,Eğitim: Yetişkin içeriğe sahip dosyaların ekran görüntülerinin belirlenmesi,"Bu, ""Yetişkin içeriğe sahip dosyaların ekran görüntülerinin belirlenmesi"" projesinin eğitim görevidir.
Ana projeye erişim yetkisi almak için bu görevi tamamlamanız gerekmektedir.
Bu görevi ikinci kez yapmanıza gerek yoktur; bilgilerinizi tazelemek için buraya başvurabilirsiniz.
(Dikkat! Görevde yetişkin içerik bulunabilir)",2022-12-09T17:28:38.000Z,1,1,fa517ea3113e489138d249ff9844f572,1,,4.41,,0.0,,,,0.0
8,8142,22436419,✍🏻 Разметка отзывов на медиа и организации,После успешного прохождения обучения и экзамена будет открыт доступ к заданиям за 0.02$,2021-03-19T07:29:50.000Z,1,0,fa517ea3113e489138d249ff9844f572,1,,4.87,,0.387097,0.03,0.4,2.76,0.0
9,8576,11851532,Свойства реплики в диалоге,Оцените последнюю реплику в диалоге,2020-03-17T15:38:15.000Z,1,1,d8b31d3d01b4315db0172ab7ca0cf0db,1,,4.87,,0.529412,0.02,0.14,,0.0
10,9950,34267477,Естественность ответов в диалоге,Оцените естественность ответа в диалоге,2022-07-07T11:41:43.000Z,1,0,d8b31d3d01b4315db0172ab7ca0cf0db,1,,4.67,,0.940298,0.0,0.07,,0.0
11,10013,19355431,Кластеризация,"Кластеризация — процесс исключения дублей среди карточек организаций. Необходимо определить, являются ли карточки дублями одной и той же организации или же это две разные организации.",2021-01-11T10:37:00.000Z,1,0,4be045b04bfbf6c69c5e7b995879aa7d,1,,4.8,,0.274809,0.0,0.11,0.51,0.0
12,11853,19395564,Кластеризация (гос. организаций),"Кластеризация — процесс исключения дублей среди карточек организаций. Необходимо определить, являются ли карточки дублями одной и той же организации или же это две разные организации, или разные подразделения одной организации",2021-01-04T21:25:03.000Z,1,0,4be045b04bfbf6c69c5e7b995879aa7d,1,,4.87,,0.441718,0.0,0.04,,0.0
13,12817,2788698,Распознавание актёра на фото,Укажите какой из актеров изображен на фото,2020-05-22T09:12:52.000Z,1,1,a70c836e4008f47a54f63fd8d60fc76b,1,,4.83,,0.642857,0.0,0.06,,0.0
14,13307,27925487,Модерация фотографий организаций,"ОБРАТИТЕ ВНИМАНИЕ: в задании может содержаться шок-контент. Если вы не готовы к таким изображениям, временно откажитесь от задания. ",2021-09-22T07:45:18.000Z,1,0,4be045b04bfbf6c69c5e7b995879aa7d,1,,4.94,,0.0,0.06,0.21,0.47,0.0
15,13573,18665481,Переформулировки запросов с известным ответом,"В этом задании нужно определить, являются ли два запроса похожими и подходит ли ответ на один вопрос другому.",2020-11-27T09:11:14.000Z,1,0,f07340a2442141020533729af20d55db,1,,4.97,,0.537313,0.02,0.12,2.01,0.0
16,15546,34289715,Качество поиска по услугам и специалистам,"Оцените, соответствует ли объявление специалиста запросу пользователя",2022-07-08T15:57:47.000Z,1,0,c1dac13d2d911f688e9b1fd6c9e23cd4,1,,4.93,,0.0,0.06,0.16,0.6,0.0
17,19653,21076867,🎓 Модерация вопросов и ответов. Этап 2 (старый тестовый),"Экзамен. Чтобы получить доступ к заданиям, его нужно ответить верно на 75% заданий. В экзамене 3 страницы (36 заданий).",2022-04-05T13:48:35.000Z,1,0,fa517ea3113e489138d249ff9844f572,1,,,,0.243243,,,,0.0
18,20362,25110310,👔 Проверка заявок на услуги на нарушения,"В этом задании вам предстоит проверить на нарушения заявки на услуги.
Сервис позволяет людям оставлять заказы, заявки на услуги, поиск мастера, организации для решения определенных задач. К сожалению, некоторые объявления на сервисе не соответствуют правилам сервиса. Мы надеемся с вашей помощью найти такие объявления.",2021-07-22T10:19:49.000Z,1,0,fa517ea3113e489138d249ff9844f572,1,,4.8,,0.0,0.02,0.13,0.47,0.0
19,20734,32707052,Модерация описаний услуг,Экзамен,2022-04-01T15:45:13.000Z,1,0,eb869068a96b24bdd90fd387ef9addf8,1,,4.95,,0.195652,0.03,0.22,0.64,0.0
